,model,average_edge_probability,percentage_intra_edges,algorithm,ari
0,DSBM,0.0045,0.0,DiSim,0.7154798601193798
0,DSBM,0.0045,0.0,Herm,0.9977528482017525
0,DSBM_PA,0.0045,0.0,DiSim,0.4831549302078888
0,DSBM_PA,0.0045,0.0,Herm,0.3664297558463389
0,DSBM,0.0045,0.1,DiSim,0.7139061529151148
0,DSBM,0.0045,0.1,Herm,0.9926541137645479
0,DSBM_PA,0.0045,0.1,DiSim,0.42397531394388843
0,DSBM_PA,0.0045,0.1,Herm,0.3541433408039393
0,DSBM,0.0045,0.2,DiSim,0.7111048433781455
0,DSBM,0.0045,0.2,Herm,0.9829285397826973
0,DSBM_PA,0.0045,0.2,DiSim,0.39644399505832806
0,DSBM_PA,0.0045,0.2,Herm,0.3505569987096739
0,DSBM,0.0045,0.30000000000000004,DiSim,0.9551571929132026
0,DSBM,0.0045,0.30000000000000004,Herm,0.9481243553963766
0,DSBM_PA,0.0045,0.30000000000000004,DiSim,0.37390628946602766
0,DSBM_PA,0.0045,0.30000000000000004,Herm,0.33968168654921815
0,DSBM,0.0045,0.4,DiSim,0.9996249875078161
0,DSBM,0.0045,0.4,Herm,0.8764156142223435
0,DSBM_PA,0.0045,0.4,DiSim,0.36919141573376807
0,DSBM_PA,0.0045,0.4,Herm,0.3525527812286639
0,DSBM,0.0045,0.5,DiSim,1.0
0,DSBM,0.0045,0.5,Herm,0.7232839551792785
0,DSBM_PA,0.0045,0.5,DiSim,0.38731205279863207
0,DSBM_PA,0.0045,0.5,Herm,0.3102513153943758
0,DSBM,0.0045,0.6000000000000001,DiSim,1.0
0,DSBM,0.0045,0.6000000000000001,Herm,0.48286921564464697
0,DSBM_PA,0.0045,0.6000000000000001,DiSim,0.5254656827993845
0,DSBM_PA,0.0045,0.6000000000000001,Herm,0.27198873631843734
0,DSBM,0.0045,0.7000000000000001,DiSim,1.0
0,DSBM,0.0045,0.7000000000000001,Herm,0.4313907048575796
0,DSBM_PA,0.0045,0.7000000000000001,DiSim,0.5635677161218529
0,DSBM_PA,0.0045,0.7000000000000001,Herm,0.24201256615540653
0,DSBM,0.0045,0.8,DiSim,1.0
0,DSBM,0.0045,0.8,Herm,0.36527913006685453
0,DSBM_PA,0.0045,0.8,DiSim,0.5908863359758585
0,DSBM_PA,0.0045,0.8,Herm,0.26125396579865034
0,DSBM,0.0045,0.9,DiSim,1.0
0,DSBM,0.0045,0.9,Herm,0.019966009998790214
0,DSBM_PA,0.0045,0.9,DiSim,0.6050043457397841
0,DSBM_PA,0.0045,0.9,Herm,0.22778473776015187
0,DSBM,0.0045,0.0,DiSim,0.9861811854060251
0,DSBM,0.0045,0.0,Herm,1.0
0,DSBM_PA,0.0045,0.0,DiSim,0.6072480786381139
0,DSBM_PA,0.0045,0.0,Herm,0.5493495844719444
0,DSBM,0.0045,0.1,DiSim,0.9622502165170489
0,DSBM,0.0045,0.1,Herm,1.0
0,DSBM_PA,0.0045,0.1,DiSim,0.36208838614757605
