,c,sigma,noise,tau,algorithm,ari
0,20,0.25,0.0,0.1,DiSim,0.3482473434016817
0,20,0.25,0.0,0.1,Herm,0.429964632370898
0,20,0.25,0.0,0.4,DiSim,0.34825272692845755
0,20,0.25,0.0,0.4,Herm,0.399436982895559
0,20,0.25,0.0,0.75,DiSim,0.3483349390107715
0,20,0.25,0.0,0.75,Herm,0.3655034454870838
0,20,0.25,0.0,0.85,DiSim,0.3482473434016817
0,20,0.25,0.0,0.85,Herm,0.3558417935284238
0,20,0.25,0.0,1,DiSim,0.348249651474102
0,20,0.25,0.0,1,Herm,0.3412511256779306
0,20,0.25,0.0,1.15,DiSim,0.3482410434511695
0,20,0.25,0.0,1.15,Herm,0.32689942455881227
0,20,0.25,0.0,1.25,DiSim,0.34825272692845755
0,20,0.25,0.0,1.25,Herm,0.3188768265273524
0,20,0.25,0.0,1.6,DiSim,0.3482410434511695
0,20,0.25,0.0,1.6,Herm,0.29155224035577765
0,20,0.25,0.0,2,DiSim,0.3483918340537248
0,20,0.25,0.0,2,Herm,0.2609298781453924
0,20,0.25,0.0,3,DiSim,0.3482410434511695
0,20,0.25,0.0,3,Herm,0.19174369787545936
0,60,0.25,0.0,0.1,DiSim,0.4730152382775352
0,60,0.25,0.0,0.1,Herm,0.513731882384252
0,60,0.25,0.0,0.4,DiSim,0.4731726341622067
0,60,0.25,0.0,0.4,Herm,0.5036004347955817
0,60,0.25,0.0,0.75,DiSim,0.47312567516522597
0,60,0.25,0.0,0.75,Herm,0.49302413715190463
0,60,0.25,0.0,0.85,DiSim,0.4731130984782802
0,60,0.25,0.0,0.85,Herm,0.4905427085278903
0,60,0.25,0.0,1,DiSim,0.47312551913500306
0,60,0.25,0.0,1,Herm,0.48772508389089425
0,60,0.25,0.0,1.15,DiSim,0.4731726341622067
0,60,0.25,0.0,1.15,Herm,0.4848974064598668
0,60,0.25,0.0,1.25,DiSim,0.47312567516522597
0,60,0.25,0.0,1.25,Herm,0.4821991357294707
0,60,0.25,0.0,1.6,DiSim,0.4731380949616106
0,60,0.25,0.0,1.6,Herm,0.47306942242325734
0,60,0.25,0.0,2,DiSim,0.4731478387641739
0,60,0.25,0.0,2,Herm,0.46603399512645755
0,60,0.25,0.0,3,DiSim,0.47313526264704486
0,60,0.25,0.0,3,Herm,0.45007362700824977
0,20,0.25,0.15,0.1,DiSim,0.1698184563140974
0,20,0.25,0.15,0.1,Herm,0.34106912143612067
0,20,0.25,0.15,0.4,DiSim,0.16908708720119062
0,20,0.25,0.15,0.4,Herm,0.29879466624096324
0,20,0.25,0.15,0.75,DiSim,0.1690797638017267
0,20,0.25,0.15,0.75,Herm,0.2637840645299675
0,20,0.25,0.15,0.85,DiSim,0.16943443464374564
0,20,0.25,0.15,0.85,Herm,0.25412881877753696
0,20,0.25,0.15,1,DiSim,0.16908708720119062
0,20,0.25,0.15,1,Herm,0.23680549751970745
0,20,0.25,0.15,1.15,DiSim,0.16926970772552655
0,20,0.25,0.15,1.15,Herm,0.2220677500205129
0,20,0.25,0.15,1.25,DiSim,0.1690688884029257
0,20,0.25,0.15,1.25,Herm,0.21176289724625397
0,20,0.25,0.15,1.6,DiSim,0.1695821998894876
0,20,0.25,0.15,1.6,Herm,0.177442803367288
0,20,0.25,0.15,2,DiSim,0.1691809599805528
0,20,0.25,0.15,2,Herm,0.14496017092856836
0,20,0.25,0.15,3,DiSim,0.1690688884029257
0,20,0.25,0.15,3,Herm,0.08100892429165775
0,60,0.25,0.15,0.1,DiSim,0.2389449131410263
0,60,0.25,0.15,0.1,Herm,0.5003009363038476
0,60,0.25,0.15,0.4,DiSim,0.23897931550586438
0,60,0.25,0.15,0.4,Herm,0.4888459585891454
0,60,0.25,0.15,0.75,DiSim,0.2390964249759075
0,60,0.25,0.15,0.75,Herm,0.47616096249664114
0,60,0.25,0.15,0.85,DiSim,0.23897882196507003
0,60,0.25,0.15,0.85,Herm,0.4724247245827696
0,60,0.25,0.15,1,DiSim,0.23893952078920924
0,60,0.25,0.15,1,Herm,0.4678646388148381
0,60,0.25,0.15,1.15,DiSim,0.26152704164577045
0,60,0.25,0.15,1.15,Herm,0.46181439523215384
0,60,0.25,0.15,1.25,DiSim,0.23898715152267702
0,60,0.25,0.15,1.25,Herm,0.4584765060172422
0,60,0.25,0.15,1.6,DiSim,0.23899499088735868
0,60,0.25,0.15,1.6,Herm,0.4478346769073434
0,60,0.25,0.15,2,DiSim,0.23906791570696487
