,c,k,noise,tau,algorithm,ari
0,20,3,0.0,0.1,DiSim,0.8187657604782828
0,20,3,0.0,0.1,Herm,0.000600175690291321
0,20,3,0.0,0.1,DiSim,0.8187657604782828
0,20,3,0.0,0.1,Herm,0.000600175690291321
0,20,3,0.0,0.4,DiSim,0.8187657604782828
0,20,3,0.0,0.4,Herm,0.00028364609979483014
0,20,3,0.0,0.75,DiSim,0.8187657604782828
0,20,3,0.0,0.75,Herm,0.0002286972441313513
0,20,3,0.0,0.85,DiSim,0.8187657604782828
0,20,3,0.0,0.85,Herm,0.0002409855697219237
0,20,3,0.0,1,DiSim,0.8187657604782828
0,20,3,0.0,1,Herm,0.000300161409552429
0,20,3,0.0,1.15,DiSim,0.8187657604782828
0,20,3,0.0,1.15,Herm,0.00024291513468014577
0,20,3,0.0,1.25,DiSim,0.8187657604782828
0,20,3,0.0,1.25,Herm,0.00019450259709397763
0,20,3,0.0,1.6,DiSim,0.8187657604782828
0,20,3,0.0,1.6,Herm,0.00015853922420402497
0,20,3,0.0,2,DiSim,0.8187657604782828
0,20,3,0.0,2,Herm,0.00020106057294661588
0,20,3,0.0,3,DiSim,0.8187657604782828
0,20,3,0.0,3,Herm,0.00018828435211046645
0,60,3,0.0,0.1,DiSim,0.9293333612418758
0,60,3,0.0,0.1,Herm,0.0003188680290677873
0,60,3,0.0,0.4,DiSim,0.9293333612418758
0,60,3,0.0,0.4,Herm,0.00024153833028033603
0,60,3,0.0,0.75,DiSim,0.9293333612418758
0,60,3,0.0,0.75,Herm,0.00017913032190648465
0,60,3,0.0,0.85,DiSim,0.9293333612418758
0,60,3,0.0,0.85,Herm,0.000171412188717189
0,60,3,0.0,1,DiSim,0.9293333612418758
0,60,3,0.0,1,Herm,0.00017881177475129658
0,60,3,0.0,1.15,DiSim,0.9293333612418758
0,60,3,0.0,1.15,Herm,0.00018315008412332965
0,60,3,0.0,1.25,DiSim,0.9293333612418758
0,60,3,0.0,1.25,Herm,0.00022827191587636306
0,60,3,0.0,1.6,DiSim,0.9293333612418758
0,60,3,0.0,1.6,Herm,0.0003509203079967998
0,60,3,0.0,2,DiSim,0.9293333612418758
0,60,3,0.0,2,Herm,0.00023534366665878205
0,60,3,0.0,3,DiSim,0.9293333612418758
0,60,3,0.0,3,Herm,0.0001621379968471401
0,20,5,0.0,0.1,DiSim,0.8023148703700113
0,20,5,0.0,0.1,Herm,0.7031489053978789
0,20,5,0.0,0.4,DiSim,0.8011067105182944
0,20,5,0.0,0.4,Herm,0.7133702376248482
0,20,5,0.0,0.75,DiSim,0.8011067105182944
0,20,5,0.0,0.75,Herm,0.7147716870001543
0,20,5,0.0,0.85,DiSim,0.8011067105182944
0,20,5,0.0,0.85,Herm,0.7127293491988679
0,20,5,0.0,1,DiSim,0.8011067105182944
0,20,5,0.0,1,Herm,0.7117541744769277
0,20,5,0.0,1.15,DiSim,0.8011067105182944
0,20,5,0.0,1.15,Herm,0.703424559120083
0,20,5,0.0,1.25,DiSim,0.8011067105182944
0,20,5,0.0,1.25,Herm,0.6981287355371034
0,20,5,0.0,1.6,DiSim,0.8011067105182944
0,20,5,0.0,1.6,Herm,0.697944704475855
0,20,5,0.0,2,DiSim,0.8011067105182944
0,20,5,0.0,2,Herm,0.49266216506293425
0,20,5,0.0,3,DiSim,0.8011067105182944
0,20,5,0.0,3,Herm,0.43089600002289946
0,60,5,0.0,0.1,DiSim,0.9372461997717672
0,60,5,0.0,0.1,Herm,0.7121384387785586
0,60,5,0.0,0.4,DiSim,0.9372461997717672
0,60,5,0.0,0.4,Herm,0.728794563354379
0,60,5,0.0,0.75,DiSim,0.9372461997717672
0,60,5,0.0,0.75,Herm,0.7392305690064198
