,p,noise,omega,algorithm,ari
0,0.003,0.0,0.0,DiSim,0.15037965808363413
0,0.003,0.0,0.0,Herm,0.2714121805663045
0,0.003,0.0,0.00025,DiSim,0.14355824977022255
0,0.003,0.0,0.00025,Herm,0.2662419489949929
0,0.003,0.0,0.0005,DiSim,0.12021275485790532
0,0.003,0.0,0.0005,Herm,0.2630601144689898
0,0.003,0.0,0.00075,DiSim,0.09396317035955268
0,0.003,0.0,0.00075,Herm,0.24720103031654678
0,0.003,0.0,0.001,DiSim,0.07718677323649244
0,0.003,0.0,0.001,Herm,0.24059399914937016
0,0.003,0.0,0.00125,DiSim,0.06591579178400847
0,0.003,0.0,0.00125,Herm,0.23077262940521528
0,0.003,0.0,0.0015,DiSim,0.05829277330331268
0,0.003,0.0,0.0015,Herm,0.22575173104309706
0,0.003,0.0,0.00175,DiSim,0.049061457690307904
0,0.003,0.0,0.00175,Herm,0.21405348342309
0,0.003,0.0,0.002,DiSim,0.04353001576327187
0,0.003,0.0,0.002,Herm,0.2056513950383624
0,0.006,0.0,0.0,DiSim,0.28184989454067616
0,0.006,0.0,0.0,Herm,0.35011251441551705
0,0.006,0.0,0.00025,DiSim,0.3111181671867691
0,0.006,0.0,0.00025,Herm,0.34797854012154616
0,0.006,0.0,0.0005,DiSim,0.30707414851623605
0,0.006,0.0,0.0005,Herm,0.34821002855004074
0,0.006,0.0,0.00075,DiSim,0.2888789598206166
0,0.006,0.0,0.00075,Herm,0.3417489585593828
0,0.006,0.0,0.001,DiSim,0.26632060907883354
0,0.006,0.0,0.001,Herm,0.33944018329451214
0,0.006,0.0,0.00125,DiSim,0.25102302327139225
0,0.006,0.0,0.00125,Herm,0.3363145229612416
0,0.006,0.0,0.0015,DiSim,0.2378681613931321
0,0.006,0.0,0.0015,Herm,0.33072992141610275
0,0.006,0.0,0.00175,DiSim,0.22920312580550883
0,0.006,0.0,0.00175,Herm,0.3263702632785325
0,0.006,0.0,0.002,DiSim,0.2197021224238317
0,0.006,0.0,0.002,Herm,0.32780909780437195
0,0.003,0.15,0.0,DiSim,0.00178564407545417
0,0.003,0.15,0.0,Herm,0.02438137391609711
0,0.003,0.15,0.00025,DiSim,0.0012060895837575079
0,0.003,0.15,0.00025,Herm,0.005717230235680462
0,0.003,0.15,0.0005,DiSim,0.0017981655269175012
0,0.003,0.15,0.0005,Herm,0.003811213985282252
0,0.003,0.15,0.00075,DiSim,0.002176675319526142
0,0.003,0.15,0.00075,Herm,0.005897545253338426
0,0.003,0.15,0.001,DiSim,0.00223054341029709
0,0.003,0.15,0.001,Herm,0.007487177440838114
0,0.003,0.15,0.00125,DiSim,0.0014130811072803388
0,0.003,0.15,0.00125,Herm,0.012389886999635544
0,0.003,0.15,0.0015,DiSim,0.0012131186466732794
0,0.003,0.15,0.0015,Herm,0.011461316835265316
0,0.003,0.15,0.00175,DiSim,0.0012295031051670214
0,0.003,0.15,0.00175,Herm,0.009420657295036076
0,0.003,0.15,0.002,DiSim,0.0011391984306783056
0,0.003,0.15,0.002,Herm,0.007963602126273384
0,0.006,0.15,0.0,DiSim,0.05786018138289467
0,0.006,0.15,0.0,Herm,0.24218335264817167
0,0.006,0.15,0.00025,DiSim,0.0817812049134957
0,0.006,0.15,0.00025,Herm,0.23870072360724426
0,0.006,0.15,0.0005,DiSim,0.0855891064638409
0,0.006,0.15,0.0005,Herm,0.2367079222847168
0,0.006,0.15,0.00075,DiSim,0.0807537058587961
0,0.006,0.15,0.00075,Herm,0.2284620087127278
0,0.006,0.15,0.001,DiSim,0.07601962365661548
0,0.006,0.15,0.001,Herm,0.2161801325957563
0,0.006,0.15,0.00125,DiSim,0.06970141364435363
0,0.006,0.15,0.00125,Herm,0.09837462773566795
0,0.006,0.15,0.0015,DiSim,0.06499396344014582
0,0.006,0.15,0.0015,Herm,0.000949578359308679
0,0.006,0.15,0.00175,DiSim,0.05852986130866776
0,0.006,0.15,0.00175,Herm,0.0012073157982636171
0,0.006,0.15,0.002,DiSim,0.05363478929035225
0,0.006,0.15,0.002,Herm,0.0011138623256272732
