,c,sigma,noise,omega,algorithm,ari
0,20,0.25,0.0,0.0,DiSim,0.33964970485699214
0,20,0.25,0.0,0.0,Herm,0.455788947134043
0,20,0.25,0.0,0.00025,DiSim,0.35501977560797215
0,20,0.25,0.0,0.00025,Herm,0.450277653578817
0,20,0.25,0.0,0.0005,DiSim,0.31694827422305444
0,20,0.25,0.0,0.0005,Herm,0.4400610587382782
0,20,0.25,0.0,0.00075,DiSim,0.27983091260945153
0,20,0.25,0.0,0.00075,Herm,0.43398456226634186
0,20,0.25,0.0,0.001,DiSim,0.24828566633599922
0,20,0.25,0.0,0.001,Herm,0.42714891797810683
0,20,0.25,0.0,0.00125,DiSim,0.22906736910898623
0,20,0.25,0.0,0.00125,Herm,0.42044299309505023
0,20,0.25,0.0,0.0015,DiSim,0.2088210027854561
0,20,0.25,0.0,0.0015,Herm,0.4115973054330622
0,20,0.25,0.0,0.00175,DiSim,0.18608797527218643
0,20,0.25,0.0,0.00175,Herm,0.4037216962645666
0,20,0.25,0.0,0.002,DiSim,0.17068813121794477
0,20,0.25,0.0,0.002,Herm,0.39719448818258923
0,60,0.25,0.0,0.0,DiSim,0.47218022067156784
0,60,0.25,0.0,0.0,Herm,0.5375551779527243
0,60,0.25,0.0,0.00025,DiSim,0.44948913928205186
0,60,0.25,0.0,0.00025,Herm,0.5647343572995346
0,60,0.25,0.0,0.0005,DiSim,0.4389293116891305
0,60,0.25,0.0,0.0005,Herm,0.5359296687630902
0,60,0.25,0.0,0.00075,DiSim,0.42561851097676934
0,60,0.25,0.0,0.00075,Herm,0.533711698534711
0,60,0.25,0.0,0.001,DiSim,0.4154035097945842
0,60,0.25,0.0,0.001,Herm,0.530900176999038
0,60,0.25,0.0,0.00125,DiSim,0.4057220609727054
0,60,0.25,0.0,0.00125,Herm,0.5306877451127479
0,60,0.25,0.0,0.0015,DiSim,0.39542208920824123
0,60,0.25,0.0,0.0015,Herm,0.5574786409043357
0,60,0.25,0.0,0.00175,DiSim,0.3890873769864465
0,60,0.25,0.0,0.00175,Herm,0.5279308949407456
0,60,0.25,0.0,0.002,DiSim,0.3814025200857661
0,60,0.25,0.0,0.002,Herm,0.5275821348724112
0,20,0.25,0.15,0.0,DiSim,0.16578098850766113
0,20,0.25,0.15,0.0,Herm,0.352577706738696
0,20,0.25,0.15,0.00025,DiSim,0.17684829023847615
0,20,0.25,0.15,0.00025,Herm,0.346006625140837
0,20,0.25,0.15,0.0005,DiSim,0.17273942927213984
0,20,0.25,0.15,0.0005,Herm,0.33788664325049755
0,20,0.25,0.15,0.00075,DiSim,0.16152790808266618
0,20,0.25,0.15,0.00075,Herm,0.3269931682377501
0,20,0.25,0.15,0.001,DiSim,0.15025992262879384
0,20,0.25,0.15,0.001,Herm,0.31724329094320447
0,20,0.25,0.15,0.00125,DiSim,0.1424892795242195
0,20,0.25,0.15,0.00125,Herm,0.3093574550093894
0,20,0.25,0.15,0.0015,DiSim,0.13145293492193166
0,20,0.25,0.15,0.0015,Herm,0.30140031070194195
0,20,0.25,0.15,0.00175,DiSim,0.12395131384079887
0,20,0.25,0.15,0.00175,Herm,0.29385634219764856
0,20,0.25,0.15,0.002,DiSim,0.11813631645686358
0,20,0.25,0.15,0.002,Herm,0.2885313726789457
0,60,0.25,0.15,0.0,DiSim,0.23203781994462344
0,60,0.25,0.15,0.0,Herm,0.5127823592585993
0,60,0.25,0.15,0.00025,DiSim,0.2607462231648378
0,60,0.25,0.15,0.00025,Herm,0.5113919462622913
0,60,0.25,0.15,0.0005,DiSim,0.2485369776809906
0,60,0.25,0.15,0.0005,Herm,0.5115199746333593
0,60,0.25,0.15,0.00075,DiSim,0.2571562545828171
0,60,0.25,0.15,0.00075,Herm,0.510661906763533
0,60,0.25,0.15,0.001,DiSim,0.26315828238092215
0,60,0.25,0.15,0.001,Herm,0.5127130231038383
0,60,0.25,0.15,0.00125,DiSim,0.2629861645740969
0,60,0.25,0.15,0.00125,Herm,0.5103523253986992
0,60,0.25,0.15,0.0015,DiSim,0.2629877178614618
0,60,0.25,0.15,0.0015,Herm,0.4668336813021931
0,60,0.25,0.15,0.00175,DiSim,0.26198098966905203
0,60,0.25,0.15,0.00175,Herm,0.50968976121863
0,60,0.25,0.15,0.002,DiSim,0.26550529371551396
0,60,0.25,0.15,0.002,Herm,0.5091479323832909
