,c,sigma,noise,algorithm,ari
0,30,0.05,0.0,DiSim,0.3295387212713563
0,30,0.05,0.0,Herm,0.5078116727929686
0,30,0.25,0.0,DiSim,0.4219905145419024
0,30,0.25,0.0,Herm,0.48412179523701904
0,30,0.45,0.0,DiSim,0.478871783747541
0,30,0.45,0.0,Herm,0.56054306995358
0,45,0.05,0.0,DiSim,0.35883879078028424
0,45,0.05,0.0,Herm,0.5197245030702164
0,45,0.25,0.0,DiSim,0.4311987434535915
0,45,0.25,0.0,Herm,0.5042160323121564
0,45,0.45,0.0,DiSim,0.5178135589204821
0,45,0.45,0.0,Herm,0.6175260976892731
0,60,0.05,0.0,DiSim,0.388768341680396
0,60,0.05,0.0,Herm,0.5276231789410414
0,60,0.25,0.0,DiSim,0.4587467591869882
0,60,0.25,0.0,Herm,0.5111363572967124
0,60,0.45,0.0,DiSim,0.6179898040693508
0,60,0.45,0.0,Herm,0.6229574051300143
0,30,0.05,0.0875,DiSim,0.23302577330237642
0,30,0.05,0.0875,Herm,0.4771901244407077
0,30,0.25,0.0875,DiSim,0.2514106126293831
0,30,0.25,0.0875,Herm,0.4700579961249923
0,30,0.45,0.0875,DiSim,0.26916538985348165
0,30,0.45,0.0875,Herm,0.5549121010855419
0,45,0.05,0.0875,DiSim,0.23368347349779572
0,45,0.05,0.0875,Herm,0.5136793434185496
0,45,0.25,0.0875,DiSim,0.251815458334477
0,45,0.25,0.0875,Herm,0.5023768656752137
0,45,0.45,0.0875,DiSim,0.287628565672747
0,45,0.45,0.0875,Herm,0.5922586251836582
0,60,0.05,0.0875,DiSim,0.18622663288638092
0,60,0.05,0.0875,Herm,0.5231826075860184
0,60,0.25,0.0875,DiSim,0.24562426506256946
0,60,0.25,0.0875,Herm,0.5108588163074308
0,60,0.45,0.0875,DiSim,0.3612273845940472
0,60,0.45,0.0875,Herm,0.6073999608515652
0,30,0.05,0.175,DiSim,0.22503417573873793
0,30,0.05,0.175,Herm,0.4483230596874374
0,30,0.25,0.175,DiSim,0.23008987815176657
0,30,0.25,0.175,Herm,0.4231817562352875
0,30,0.45,0.175,DiSim,0.2355305789148305
0,30,0.45,0.175,Herm,0.4810857491176047
0,45,0.05,0.175,DiSim,0.22394974345257448
0,45,0.05,0.175,Herm,0.4948381215073267
0,45,0.25,0.175,DiSim,0.20374643983467022
0,45,0.25,0.175,Herm,0.48175185557591216
0,45,0.45,0.175,DiSim,0.23163024058273718
0,45,0.45,0.175,Herm,0.5358259070324428
0,60,0.05,0.175,DiSim,0.18770049525129823
0,60,0.05,0.175,Herm,0.510996019048566
0,60,0.25,0.175,DiSim,0.2184163155398535
0,60,0.25,0.175,Herm,0.4966662044679483
0,60,0.45,0.175,DiSim,0.23377247717637561
0,60,0.45,0.175,Herm,0.5686668965812631
0,30,0.05,0.26249999999999996,DiSim,0.20396742200284607
0,30,0.05,0.26249999999999996,Herm,0.40060557569786054
0,30,0.25,0.26249999999999996,DiSim,0.19133898106509467
0,30,0.25,0.26249999999999996,Herm,0.2995515059309736
0,30,0.45,0.26249999999999996,DiSim,0.19595428747672192
0,30,0.45,0.26249999999999996,Herm,0.2807276651648678
0,45,0.05,0.26249999999999996,DiSim,0.21101789420775632
0,45,0.05,0.26249999999999996,Herm,0.46562232507276746
0,45,0.25,0.26249999999999996,DiSim,0.1743007731314787
0,45,0.25,0.26249999999999996,Herm,0.3866324789401176
0,45,0.45,0.26249999999999996,DiSim,0.2058181968986796
0,45,0.45,0.26249999999999996,Herm,0.3478038097897281
0,60,0.05,0.26249999999999996,DiSim,0.1653577659807896
0,60,0.05,0.26249999999999996,Herm,0.49025158328278357
0,60,0.25,0.26249999999999996,DiSim,0.15701872917174298
0,60,0.25,0.26249999999999996,Herm,0.40936677354123713
0,60,0.45,0.26249999999999996,DiSim,0.22096866127525727
0,60,0.45,0.26249999999999996,Herm,0.3827333974123741
0,30,0.05,0.35,DiSim,0.17462114269594672
0,30,0.05,0.35,Herm,0.24296691657222647
0,30,0.25,0.35,DiSim,0.1351554624810655
0,30,0.25,0.35,Herm,0.18258987859467776
0,30,0.45,0.35,DiSim,0.12965695081041642
0,30,0.45,0.35,Herm,0.1576930803855031
0,45,0.05,0.35,DiSim,0.19170345366343014
0,45,0.05,0.35,Herm,0.30938782092164413
0,45,0.25,0.35,DiSim,0.1489918680453131
0,45,0.25,0.35,Herm,0.22481556742000733
0,45,0.45,0.35,DiSim,0.17307995450072522
0,45,0.45,0.35,Herm,0.19116876101165073
0,60,0.05,0.35,DiSim,0.14304297782879263
0,60,0.05,0.35,Herm,0.3432049932269923
0,60,0.25,0.35,DiSim,0.13998781472145316
0,60,0.25,0.35,Herm,0.2943205616846617
0,60,0.45,0.35,DiSim,0.16183199249812552
0,60,0.45,0.35,Herm,0.207688732360275
