,model,p,noise,algorithm,ari
0,DSBM,0.002,0.0,DiSim,0.5980310762855939
0,DSBM,0.002,0.0,Herm,0.46683587145651617
0,DSBM_PA,0.002,0.0,DiSim,0.17845082041519067
0,DSBM_PA,0.002,0.0,Herm,0.3305246187703038
0,DSBM,0.004,0.0,DiSim,0.6708763523687491
0,DSBM,0.004,0.0,Herm,0.7852320167882326
0,DSBM_PA,0.004,0.0,DiSim,0.3998627619122964
0,DSBM_PA,0.004,0.0,Herm,0.3809112954671479
0,DSBM,0.006,0.0,DiSim,0.698469148069133
0,DSBM,0.006,0.0,Herm,0.9228454432049708
0,DSBM_PA,0.006,0.0,DiSim,0.34612570526087444
0,DSBM_PA,0.006,0.0,Herm,0.39699134487573967
0,DSBM,0.008,0.0,DiSim,0.7076101848604299
0,DSBM,0.008,0.0,Herm,0.9711383259976253
0,DSBM_PA,0.008,0.0,DiSim,0.3752727914877153
0,DSBM_PA,0.008,0.0,Herm,0.41332290469707034
0,DSBM,0.002,0.0875,DiSim,0.49030580451123335
0,DSBM,0.002,0.0875,Herm,0.444553831959039
0,DSBM_PA,0.002,0.0875,DiSim,0.011200432888968243
0,DSBM_PA,0.002,0.0875,Herm,0.2537360183767871
0,DSBM,0.004,0.0875,DiSim,0.6189308957873983
0,DSBM,0.004,0.0875,Herm,0.5516981264897491
0,DSBM_PA,0.004,0.0875,DiSim,0.14171703451444767
0,DSBM_PA,0.004,0.0875,Herm,0.35386765006785276
0,DSBM,0.006,0.0875,DiSim,0.6566991755510879
0,DSBM,0.006,0.0875,Herm,0.7909830186118474
0,DSBM_PA,0.006,0.0875,DiSim,0.24063933577802457
0,DSBM_PA,0.006,0.0875,Herm,0.378178282110167
0,DSBM,0.008,0.0875,DiSim,0.6780776004063717
0,DSBM,0.008,0.0875,Herm,0.8967739643927037
0,DSBM_PA,0.008,0.0875,DiSim,0.29822261637760417
0,DSBM_PA,0.008,0.0875,Herm,0.3861266586142823
0,DSBM,0.002,0.175,DiSim,0.24392987433334934
0,DSBM,0.002,0.175,Herm,0.3996580259307647
0,DSBM_PA,0.002,0.175,DiSim,0.00031631686876614575
0,DSBM_PA,0.002,0.175,Herm,0.009402221303665853
0,DSBM,0.004,0.175,DiSim,0.4312106853258416
0,DSBM,0.004,0.175,Herm,0.4479527643898366
0,DSBM_PA,0.004,0.175,DiSim,0.0002756112733294891
0,DSBM_PA,0.004,0.175,Herm,0.01874820872080133
0,DSBM,0.006,0.175,DiSim,0.46526036274868765
0,DSBM,0.006,0.175,Herm,0.5399904091080765
0,DSBM_PA,0.006,0.175,DiSim,0.08045500841557343
0,DSBM_PA,0.006,0.175,Herm,0.020325101566505552
0,DSBM,0.008,0.175,DiSim,0.4781471439208681
0,DSBM,0.008,0.175,Herm,0.695778551924553
0,DSBM_PA,0.008,0.175,DiSim,0.11730331078413768
0,DSBM_PA,0.008,0.175,Herm,0.010865104044021287
0,DSBM,0.002,0.26249999999999996,DiSim,0.053891278241358316
0,DSBM,0.002,0.26249999999999996,Herm,0.2950843971513617
0,DSBM_PA,0.002,0.26249999999999996,DiSim,0.00017683178987194128
0,DSBM_PA,0.002,0.26249999999999996,Herm,0.00044584773457267756
0,DSBM,0.004,0.26249999999999996,DiSim,0.288949740055875
0,DSBM,0.004,0.26249999999999996,Herm,0.40033043465377144
0,DSBM_PA,0.004,0.26249999999999996,DiSim,7.92036549801549e-05
0,DSBM_PA,0.004,0.26249999999999996,Herm,0.00032726587650643485
0,DSBM,0.006,0.26249999999999996,DiSim,0.39429977491527574
0,DSBM,0.006,0.26249999999999996,Herm,0.4347752277714389
0,DSBM_PA,0.006,0.26249999999999996,DiSim,-1.1883152257536573e-05
0,DSBM_PA,0.006,0.26249999999999996,Herm,0.0008702529539198436
0,DSBM,0.008,0.26249999999999996,DiSim,0.434719080918997
0,DSBM,0.008,0.26249999999999996,Herm,0.45698685249851867
0,DSBM_PA,0.008,0.26249999999999996,DiSim,0.00016385763017848635
0,DSBM_PA,0.008,0.26249999999999996,Herm,0.0008394354025868353
0,DSBM,0.002,0.35,DiSim,8.365408661001102e-05
0,DSBM,0.002,0.35,Herm,0.0636429790349768
0,DSBM_PA,0.002,0.35,DiSim,4.1040733415282993e-05
0,DSBM_PA,0.002,0.35,Herm,-3.436806697128703e-05
0,DSBM,0.004,0.35,DiSim,0.008954962468898283
0,DSBM,0.004,0.35,Herm,0.24545891699448386
0,DSBM_PA,0.004,0.35,DiSim,-4.131023727637836e-05
0,DSBM_PA,0.004,0.35,Herm,-1.3792895502219972e-05
0,DSBM,0.006,0.35,DiSim,0.11446475584836739
0,DSBM,0.006,0.35,Herm,0.3302541253030463
0,DSBM_PA,0.006,0.35,DiSim,-5.519053273829182e-05
0,DSBM_PA,0.006,0.35,Herm,-9.283963713181318e-05
0,DSBM,0.008,0.35,DiSim,0.212957980010047
0,DSBM,0.008,0.35,Herm,0.3698308746835619
0,DSBM_PA,0.008,0.35,DiSim,-0.0001108055304448328
0,DSBM_PA,0.008,0.35,Herm,0.00025179870002110875
